UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004682115;1;2016-03-15;netto: -0.26 imposta: 0.00 lordo: -0.27
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004721183;1;2016-02-02;netto: -0.43 imposta: 0.00 lordo: -0.44
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004721183;1;2016-03-02;netto: -0.39 imposta: 0.00 lordo: -0.40
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004734330;1;2016-02-11;netto: -0.25 imposta: 0.00 lordo: -0.26
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004734330;1;2016-03-11;netto: -0.23 imposta: 0.00 lordo: -0.24
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004822824;1;2011-04-06;netto: 0.08 imposta: 0.00 lordo: 0.07
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004822829;1;2011-04-06;netto: 0.12 imposta: 0.00 lordo: 0.11
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004822926;1;2011-04-06;netto: 0.39 imposta: 0.01 lordo: 0.36
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004884515;1;2016-02-17;netto: -0.20 imposta: 0.00 lordo: -0.21
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004918176;1;2016-02-04;netto: -0.32 imposta: 0.00 lordo: -0.33
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004918176;1;2016-03-04;netto: -0.29 imposta: 0.00 lordo: -0.30
