UNI;4010;TUTTO IL PORTAFOGLIO;NULL;04;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004426464;1;2016-03-21;NettoEQ: 63.31 NettoDEQ: 63.31 Provv EQ: 0.00Provv DEQ: 1.58TipoTitolo: 04
UNI;4010;TUTTO IL PORTAFOGLIO;NULL;04;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004426464;1;2016-04-21;NettoEQ: 63.31 NettoDEQ: 63.31 Provv EQ: 0.00Provv DEQ: 1.58TipoTitolo: 04
UNI;4010;TUTTO IL PORTAFOGLIO;NULL;04;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004426464;1;2016-05-21;NettoEQ: 63.31 NettoDEQ: 63.31 Provv EQ: 0.00Provv DEQ: 1.58TipoTitolo: 04
UNI;4010;TUTTO IL PORTAFOGLIO;NULL;04;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004426464;1;2016-06-21;NettoEQ: 63.31 NettoDEQ: 63.31 Provv EQ: 0.00Provv DEQ: 1.58TipoTitolo: 04
UNI;4010;TUTTO IL PORTAFOGLIO;NULL;04;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004426464;1;2016-07-21;NettoEQ: 63.31 NettoDEQ: 63.31 Provv EQ: 0.00Provv DEQ: 1.58TipoTitolo: 04
UNI;4010;TUTTO IL PORTAFOGLIO;NULL;04;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004426464;1;2016-08-21;NettoEQ: 63.31 NettoDEQ: 63.31 Provv EQ: 0.00Provv DEQ: 1.58TipoTitolo: 04
UNI;4010;TUTTO IL PORTAFOGLIO;NULL;04;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004426464;1;2016-09-21;NettoEQ: 63.31 NettoDEQ: 63.31 Provv EQ: 0.00Provv DEQ: 1.58TipoTitolo: 04
UNI;4010;TUTTO IL PORTAFOGLIO;NULL;04;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004426464;1;2016-10-21;NettoEQ: 63.31 NettoDEQ: 63.31 Provv EQ: 0.00Provv DEQ: 1.58TipoTitolo: 04
UNI;4010;TUTTO IL PORTAFOGLIO;NULL;04;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004426464;1;2016-11-21;NettoEQ: 63.31 NettoDEQ: 63.31 Provv EQ: 0.00Provv DEQ: 1.58TipoTitolo: 04
UNI;4010;TUTTO IL PORTAFOGLIO;NULL;04;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004426464;1;2016-12-21;NettoEQ: 63.31 NettoDEQ: 63.31 Provv EQ: 0.00Provv DEQ: 1.58TipoTitolo: 04
UNI;4010;TUTTO IL PORTAFOGLIO;NULL;04;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004426466;1;2016-11-21;NettoEQ: 100.00 NettoDEQ: 100.00 Provv EQ: 0.00Provv DEQ: 2.50TipoTitolo: 04
UNI;4010;TUTTO IL PORTAFOGLIO;NULL;04;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004426469;1;2016-11-21;NettoEQ: 50.00 NettoDEQ: 50.00 Provv EQ: 0.00Provv DEQ: 1.25TipoTitolo: 04
